ilslevel, genetrees, basepair, methodName, modelConditionName,Robinson-Foulds distance
noscale,200g,500b,astral,R15,0.11764705882352941
noscale,200g,500b,astral,R16,0.029411764705882353
scale2d,200g,500b,astral,R1,0.058823529411764705
noscale,200g,500b,astral,R17,0.058823529411764705
noscale,200g,500b,astral,R18,0.0
noscale,200g,500b,astral,R19,0.029411764705882353
noscale,200g,500b,astral,R20,0.08823529411764706
noscale,200g,true,astral,R1,0.029411764705882353
noscale,200g,true,astral,R2,0.0
noscale,200g,true,astral,R3,0.0
noscale,200g,true,astral,R4,0.0
noscale,200g,true,astral,R5,0.0
noscale,200g,true,astral,R6,0.0
noscale,200g,true,astral,R7,0.029411764705882353
noscale,200g,true,astral,R8,0.0
noscale,200g,true,astral,R9,0.0
noscale,200g,true,astral,R10,0.029411764705882353
noscale,200g,true,astral,R11,0.0
noscale,200g,true,astral,R12,0.029411764705882353
noscale,200g,true,astral,R13,0.058823529411764705
noscale,200g,true,astral,R14,0.029411764705882353
noscale,200g,true,astral,R15,0.0
noscale,200g,true,astral,R16,0.029411764705882353
noscale,200g,true,astral,R17,0.0
noscale,200g,true,astral,R18,0.0
noscale,200g,true,astral,R19,0.0
noscale,200g,true,astral,R20,0.029411764705882353
noscale,25g,500b,astral,R1,0.08823529411764706
noscale,25g,500b,astral,R2,0.11764705882352941
noscale,25g,500b,astral,R3,0.14705882352941177
noscale,25g,500b,astral,R4,0.11764705882352941
noscale,25g,500b,astral,R5,0.14705882352941177
noscale,25g,500b,astral,R6,0.14705882352941177
noscale,25g,500b,astral,R7,0.14705882352941177
noscale,25g,500b,astral,R8,0.058823529411764705
noscale,25g,500b,astral,R9,0.029411764705882353
noscale,25g,500b,astral,R10,0.14705882352941177
noscale,25g,500b,astral,R11,0.11764705882352941
noscale,25g,500b,astral,R12,0.14705882352941177
noscale,25g,500b,astral,R13,0.08823529411764706
noscale,25g,500b,astral,R14,0.11764705882352941
noscale,25g,500b,astral,R15,0.11764705882352941
noscale,25g,500b,astral,R16,0.11764705882352941
noscale,25g,500b,astral,R17,0.11764705882352941
noscale,25g,500b,astral,R18,0.058823529411764705
noscale,25g,500b,astral,R19,0.08823529411764706
noscale,25g,500b,astral,R20,0.14705882352941177
noscale,400g,500b,astral,R1,0.0
noscale,400g,500b,astral,R2,0.0
noscale,400g,500b,astral,R3,0.058823529411764705
noscale,400g,500b,astral,R4,0.0
noscale,400g,500b,astral,R5,0.029411764705882353
noscale,400g,500b,astral,R6,0.029411764705882353
noscale,400g,500b,astral,R7,0.0
noscale,400g,500b,astral,R8,0.0
noscale,400g,500b,astral,R9,0.029411764705882353
noscale,400g,500b,astral,R10,0.029411764705882353
noscale,400g,500b,astral,R11,0.0
noscale,400g,500b,astral,R12,0.029411764705882353
noscale,400g,500b,astral,R13,0.0
noscale,400g,500b,astral,R14,0.0
noscale,400g,500b,astral,R15,0.029411764705882353
noscale,400g,500b,astral,R16,0.0
noscale,400g,500b,astral,R17,0.029411764705882353
noscale,400g,500b,astral,R18,0.0
noscale,400g,500b,astral,R19,0.0
noscale,400g,500b,astral,R20,0.029411764705882353
noscale,50g,500b,astral,R1,0.058823529411764705
noscale,50g,500b,astral,R2,0.058823529411764705
noscale,50g,500b,astral,R3,0.058823529411764705
noscale,50g,500b,astral,R4,0.0
noscale,50g,500b,astral,R5,0.11764705882352941
noscale,50g,500b,astral,R6,0.08823529411764706
noscale,50g,500b,astral,R7,0.17647058823529413
noscale,50g,500b,astral,R8,0.029411764705882353
noscale,50g,500b,astral,R9,0.0
noscale,50g,500b,astral,R10,0.08823529411764706
noscale,50g,500b,astral,R11,0.058823529411764705
noscale,50g,500b,astral,R12,0.08823529411764706
noscale,50g,500b,astral,R13,0.11764705882352941
noscale,50g,500b,astral,R14,0.08823529411764706
noscale,50g,500b,astral,R15,0.08823529411764706
noscale,50g,500b,astral,R16,0.029411764705882353
noscale,50g,500b,astral,R17,0.08823529411764706
noscale,50g,500b,astral,R18,0.08823529411764706
